SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051134,00182M00:00:00.924,0182 00:14:47,713.48,,1
683051135,00182M00:00:01.897,0182 00:14:48,713.55,,1
683051136,00182M00:00:02.871,0182 00:14:48,713.57,,1
683051137,00182M00:00:03.844,0182 00:14:49,713.53,,1
683051138,00182M00:00:04.817,0182 00:14:50,713.53,,1
683051139,00182M00:00:05.790,0182 00:14:51,713.57,,1
683051140,00182M00:00:06.764,0182 00:14:52,713.59,,1
683051141,00182M00:00:07.737,0182 00:14:53,713.55,,1
683051142,00182M00:00:08.710,0182 00:14:54,713.53,,1
683051143,00182M00:00:09.683,0182 00:14:55,713.55,,1
683051144,00182M00:00:10.657,0182 00:14:56,713.55,,1
683051145,00182M00:00:11.630,0182 00:14:57,713.57,,1
683051146,00182M00:00:12.603,0182 00:14:58,713.55,,1
683051147,00182M00:00:13.576,0182 00:14:59,713.51,,1
683051148,00182M00:00:14.550,0182 00:15:00,713.55,,1
683051149,00182M00:00:15.523,0182 00:15:01,713.55,,1
683051150,00182M00:00:16.496,0182 00:15:02,713.53,,1
683051151,00182M00:00:17.469,0182 00:15:03,713.57,,1
683051152,00182M00:00:18.443,0182 00:15:04,713.53,,1
683051153,00182M00:00:19.416,0182 00:15:05,713.49,,1
683051154,00182M00:00:20.389,0182 00:15:06,713.55,,1
683051155,00182M00:00:21.362,0182 00:15:07,713.57,,1
683051156,00182M00:00:22.336,0182 00:15:08,713.56,,1
683051157,00182M00:00:23.309,0182 00:15:09,713.53,,1
683051158,00182M00:00:24.282,0182 00:15:10,713.57,,1
683051159,00182M00:00:25.255,0182 00:15:11,713.53,,1
683051160,00182M00:00:26.229,0182 00:15:12,713.53,,1
683051161,00182M00:00:27.202,0182 00:15:13,713.60,,1
683051162,00182M00:00:28.175,0182 00:15:14,713.53,,1
683051163,00182M00:00:29.148,0182 00:15:15,713.53,,1
683051164,00182M00:00:30.122,0182 00:15:16,713.56,,1
683051165,00182M00:00:31.095,0182 00:15:17,713.58,,1
683051166,00182M00:00:32.068,0182 00:15:18,713.49,,1
683051167,00182M00:00:33.042,0182 00:15:19,713.53,,1
683051168,00182M00:00:34.015,0182 00:15:20,713.53,,1
683051169,00182M00:00:34.988,0182 00:15:21,713.51,,1
683051170,00182M00:00:35.961,0182 00:15:22,713.51,,1
683051171,00182M00:00:36.935,0182 00:15:23,713.53,,1
683051172,00182M00:00:37.908,0182 00:15:24,713.47,,1
683051173,00182M00:00:38.881,0182 00:15:24,713.54,,1
683051174,00182M00:00:39.854,0182 00:15:25,713.54,,1
683051175,00182M00:00:40.828,0182 00:15:26,713.51,,1
683051176,00182M00:00:41.801,0182 00:15:27,713.51,,1
683051177,00182M00:00:42.774,0182 00:15:28,713.51,,1
683051178,00182M00:00:43.747,0182 00:15:29,713.58,,1
683051179,00182M00:00:44.721,0182 00:15:30,713.54,,1
683051180,00182M00:00:45.694,0182 00:15:31,713.54,,1
683051181,00182M00:00:46.667,0182 00:15:32,713.56,,1
683051182,00182M00:00:47.640,0182 00:15:33,713.51,,1
683051183,00182M00:00:48.614,0182 00:15:34,713.47,,1
683051184,00182M00:00:49.587,0182 00:15:35,713.54,,1
683051185,00182M00:00:50.560,0182 00:15:36,713.52,,1
683051186,00182M00:00:51.533,0182 00:15:37,713.54,,1
683051187,00182M00:00:52.507,0182 00:15:38,713.52,,1
683051188,00182M00:00:53.480,0182 00:15:39,713.49,,1
683051189,00182M00:00:54.453,0182 00:15:40,713.54,,1
683051190,00182M00:00:55.426,0182 00:15:41,713.49,,1
683051191,00182M00:00:56.400,0182 00:15:42,713.49,,1
683051192,00182M00:00:57.373,0182 00:15:43,713.51,,1
683051193,00182M00:00:58.346,0182 00:15:44,713.54,,1
683051194,00182M00:00:59.319,0182 00:15:45,713.54,,1
683051195,00182M00:01:00.293,0182 00:15:46,713.54,,1
683051196,00182M00:01:01.266,0182 00:15:47,713.50,,1
683051197,00182M00:01:02.239,0182 00:15:48,713.50,,1
683051198,00182M00:01:03.212,0182 00:15:49,713.54,,1
683051199,00182M00:01:04.186,0182 00:15:50,713.50,,1
683051200,00182M00:01:05.159,0182 00:15:51,713.54,,1
683051201,00182M00:01:06.132,0182 00:15:52,713.46,,1
683051202,00182M00:01:07.105,0182 00:15:53,713.52,,1
683051203,00182M00:01:08.079,0182 00:15:54,713.56,,1
683051204,00182M00:01:09.052,0182 00:15:55,713.48,,1
683051205,00182M00:01:10.025,0182 00:15:56,713.52,,1
683051206,00182M00:01:10.998,0182 00:15:57,713.54,,1
683051207,00182M00:01:11.972,0182 00:15:58,713.52,,1
683051208,00182M00:01:12.945,0182 00:15:59,713.52,,1
683051209,00182M00:01:13.918,0182 00:16:00,713.52,,1
683051210,00182M00:01:14.891,0182 00:16:01,713.50,,1
683051211,00182M00:01:15.865,0182 00:16:01,713.48,,1
683051212,00182M00:01:16.838,0182 00:16:02,713.54,,1
683051213,00182M00:01:17.811,0182 00:16:03,713.52,,1
683051214,00182M00:01:18.784,0182 00:16:04,713.47,,1
683051215,00182M00:01:19.758,0182 00:16:05,713.47,,1
683051216,00182M00:01:20.731,0182 00:16:06,713.50,,1
683051217,00182M00:01:21.704,0182 00:16:07,713.50,,1
683051218,00182M00:01:22.677,0182 00:16:08,713.48,,1
683051219,00182M00:01:23.651,0182 00:16:09,713.52,,1
683051220,00182M00:01:24.624,0182 00:16:10,713.52,,1
683051221,00182M00:01:25.597,0182 00:16:11,713.45,,1
683051222,00182M00:01:26.570,0182 00:16:12,713.50,,1
683051223,00182M00:01:27.544,0182 00:16:13,713.52,,1
683051224,00182M00:01:28.517,0182 00:16:14,713.46,,1
683051225,00182M00:01:29.490,0182 00:16:15,713.48,,1
683051226,00182M00:01:30.463,0182 00:16:16,713.53,,1
683051227,00182M00:01:31.437,0182 00:16:17,713.52,,1
683051228,00182M00:01:32.410,0182 00:16:18,713.50,,1
683051229,00182M00:01:33.383,0182 00:16:19,713.50,,1
683051230,00182M00:01:34.356,0182 00:16:20,713.48,,1
683051231,00182M00:01:35.330,0182 00:16:21,713.46,,1
683051232,00182M00:01:36.303,0182 00:16:22,713.46,,1
683051233,00182M00:01:37.276,0182 00:16:23,713.48,,1
683051234,00182M00:01:38.249,0182 00:16:24,713.50,,1
683051235,00182M00:01:39.223,0182 00:16:25,713.46,,1
683051236,00182M00:01:40.196,0182 00:16:26,713.46,,1
683051237,00182M00:01:41.169,0182 00:16:27,713.51,,1
683051238,00182M00:01:42.142,0182 00:16:28,713.46,,1
683051239,00182M00:01:43.116,0182 00:16:29,713.50,,1
683051240,00182M00:01:44.089,0182 00:16:30,713.50,,1
683051241,00182M00:01:45.062,0182 00:16:31,713.50,,1
683051242,00182M00:01:46.035,0182 00:16:32,713.46,,1
683051243,00182M00:01:47.009,0182 00:16:33,713.48,,1
683051244,00182M00:01:47.982,0182 00:16:34,713.44,,1
683051245,00182M00:01:48.955,0182 00:16:35,713.42,,1
683051246,00182M00:01:49.928,0182 00:16:36,713.46,,1
683051247,00182M00:01:50.902,0182 00:16:37,713.44,,1
683051248,00182M00:01:51.875,0182 00:16:37,713.49,,1
683051249,00182M00:01:52.848,0182 00:16:38,713.49,,1
683051250,00182M00:01:53.821,0182 00:16:39,713.46,,1
683051251,00182M00:01:54.795,0182 00:16:40,713.46,,1
